PNR,SourceSystemTicketingDate,SupplierTicketingDate,SourceSystem,SupplierName,SourceSystemStatus,SupplierStatus,IsOrphan,PCC,TicketingAgentSignOn
DCW0HJ,,2025-09-10T12:23:51.167+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCTYSR,,2025-09-10T10:40:15.260+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCW2FW,,2025-09-10T12:27:25.597+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCW936,,2025-09-10T12:26:48.210+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCF7Y7,,2025-09-10T10:20:32.659+00:00,,Galileo,,Ticketed,TRUE,,
DCT7B0,,2025-09-10T12:50:39.354+00:00,,Galileo,,Ticketed,TRUE,D40,ZWV5GWS
DCWRBZ,,2025-09-10T13:01:46.316+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCX6DZ,,2025-09-10T13:52:06.341+00:00,,Galileo,,Ticketed,TRUE,D40,ZWV5GWS
DCXFTS,,2025-09-10T13:57:20.873+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCXDP2,,2025-09-10T13:57:42.032+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCXHFG,,2025-09-10T13:58:15.331+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCXKKX,,2025-09-10T14:01:37.217+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCXMFH,,2025-09-10T14:04:48.122+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCW9YP,,2025-09-10T12:32:55.495+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCWL11,,2025-09-10T12:48:40.352+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCXM9P,,2025-09-10T14:05:21.665+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCXM5Q,,2025-09-10T14:10:04.993+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCQDPB,,2025-09-10T05:53:47.921+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCWZDD,,2025-09-10T14:10:48.377+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCXB2Q,,2025-09-10T14:14:17.814+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCXSMW,,2025-09-10T14:20:27.727+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCXPZH,,2025-09-10T14:18:39.018+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCXWBW,,2025-09-10T14:25:23.097+00:00,,Galileo,,Ticketed,TRUE,8M13,Z8JY1GWS
DCXXGQ,,2025-09-10T14:26:52.067+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCXXJN,,2025-09-10T14:27:19.089+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCY68F,,2025-09-10T14:48:54.252+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCY85X,,2025-09-10T14:56:49.679+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCY2QH,,2025-09-10T14:40:04.598+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCY6G6,,2025-09-10T14:57:40.421+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCYG1K,,2025-09-10T15:10:01.687+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCYFT3,,2025-09-10T15:09:59.034+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCS3SP,,2025-09-10T08:29:27.383+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCY0GG,,2025-09-10T14:33:12.730+00:00,,Galileo,,Ticketed,TRUE,52AU,Z52AUGWS
DCYHJX,,2025-09-10T15:14:21.276+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCYJT4,,2025-09-10T15:18:59.847+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCYNLD,,2025-09-10T15:31:18.840+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCYP6V,,2025-09-10T15:36:57.113+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCYQCR,,2025-09-10T15:30:48.468+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCYQPZ,,2025-09-10T15:30:22.455+00:00,,Galileo,,Ticketed,TRUE,52AU,Z52AUGWS
DCYRF5,,2025-09-10T15:42:33.422+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCYH3H,,2025-09-10T15:42:38.721+00:00,,Galileo,,Ticketed,TRUE,D40,ZWV5GWS
DCZ5N7,,2025-09-10T16:10:38.244+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCZ47H,,2025-09-10T16:05:43.284+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCYMQK,,2025-09-10T16:26:40.890+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCZDK9,,2025-09-10T16:47:49.427+00:00,,Galileo,,Ticketed,TRUE,D40,Z3HB3GWS
DCZL09,,2025-09-10T16:58:32.410+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCZK3K,,2025-09-10T16:53:18.640+00:00,,Galileo,,Ticketed,TRUE,D40,ZWV5GWS
DCLXX9,,2025-09-10T17:02:20.062+00:00,,Galileo,,Ticketed,TRUE,D40,ZWV5GWS
DCZNNN,,2025-09-10T17:02:58.945+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCZGQQ,,2025-09-10T16:40:37.362+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCZGJ6,,2025-09-10T16:37:42.249+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCZMFT,,2025-09-10T17:03:28.655+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DCZNM7,,2025-09-10T17:06:10.974+00:00,,Galileo,,Ticketed,TRUE,8JY1,ZXI7GWS
DC6LK4,,2025-09-10T17:08:09.639+00:00,,Galileo,,Ticketed,TRUE,D40,ZWV5GWS
DC6MLB,,2025-09-10T17:09:28.277+00:00,,Galileo,,Ticketed,TRUE,D40,ZWV5GWS
